model,active_params_b,total_params_b,layers,hidden_size,kv_heads,head_dim,kv_bytes_per_token_bf16,source,gpu,compute_tflops,gpu_source,tp_sizes,bandwidth_range_gb_s,read_time,prefill_time,threshold_definition,tp_note
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,T4,65.0,NVIDIA T4 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,L4,121.0,NVIDIA L4 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,A30,165.0,NVIDIA A30 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,A100/A800,312.0,NVIDIA A100/A800-class public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,L40S,362.0,NVIDIA L40S public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,H100/H800,989.0,NVIDIA H100/H800-class public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,H200,989.0,NVIDIA H200 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Flash-284B,13.0,284.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,B200,2250.0,NVIDIA B200 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,T4,65.0,NVIDIA T4 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,L4,121.0,NVIDIA L4 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,A30,165.0,NVIDIA A30 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,A100/A800,312.0,NVIDIA A100/A800-class public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,L40S,362.0,NVIDIA L40S public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,H100/H800,989.0,NVIDIA H100/H800-class public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,H200,989.0,NVIDIA H200 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
DeepSeek-V4-Pro-1.6T,49.0,1600.0,43,4096,1,512,44032,DeepSeek-V4 public config/model card; shared-KV layout,B200,2250.0,NVIDIA B200 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
