source_id,category,title,url,use_in_dataset
hf_llama2_7b,model_config,Meta Llama-2-7b-hf config,https://huggingface.co/meta-llama/Llama-2-7b-hf/blob/main/config.json,"layers hidden_size heads intermediate_size"
hf_llama2_13b,model_config,Meta Llama-2-13b-hf config,https://huggingface.co/meta-llama/Llama-2-13b-hf/blob/main/config.json,"layers hidden_size heads intermediate_size"
hf_llama2_70b,model_config,Meta Llama-2-70b-hf config,https://huggingface.co/meta-llama/Llama-2-70b-hf/blob/main/config.json,"layers hidden_size heads kv_heads intermediate_size"
hf_mistral_7b,model_config,Mistral-7B-v0.1 config,https://huggingface.co/mistralai/Mistral-7B-v0.1/blob/main/config.json,"layers hidden_size heads kv_heads intermediate_size"
hf_llama31_8b,model_config,Meta-Llama-3.1-8B config,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B/blob/main/config.json,"layers hidden_size heads kv_heads intermediate_size context"
hf_qwen25_7b,model_config,Qwen2.5-7B-Instruct config,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct/blob/main/config.json,"layers hidden_size heads kv_heads intermediate_size context"
hf_qwen25_32b,model_config,Qwen2.5-32B-Instruct config,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct/blob/main/config.json,"layers hidden_size heads kv_heads intermediate_size context"
vllm_paper,serving_memory,Efficient Memory Management for Large Language Model Serving with PagedAttention,https://arxiv.org/abs/2309.06180,"KV cache memory-management motivation"
vllm_blog_2023,serving_memory,vLLM blog: Easy Fast and Cheap LLM Serving with PagedAttention,https://blog.vllm.ai/2023/06/20/vllm.html,"KV cache fragmentation and serving memory pressure"
vllm_issue_421,public_profiling,vLLM GitHub issue: PagedAttention optimization notes,https://github.com/vllm-project/vllm/issues/421,"Public Nsight Compute discussion for attention kernel memory behavior"
trtllm_attention_docs,kernel_docs,TensorRT-LLM attention documentation,https://nvidia.github.io/TensorRT-LLM/features/attention.html,"Generation attention implementation and KV cache optimization context"
flash_decoding,long_context_attention,Flash-Decoding for long-context inference,https://crfm.stanford.edu/2023/10/12/flashdecoding.html,"Long-context decode attention parallelism and KV traversal motivation"
distserve_osdi24,serving_model,DistServe OSDI 2024 paper page,https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin,"Public prefill/decode separation and decode memory-bound modeling precedent"
nvidia_a100_specs,gpu_spec,NVIDIA A100 Tensor Core GPU product/specification page,https://www.nvidia.com/en-us/data-center/a100/,"A100 80GB HBM capacity and bandwidth reference"
nvidia_h100_specs,gpu_spec,NVIDIA H100 Tensor Core GPU product/specification page,https://www.nvidia.com/en-us/data-center/h100/,"H100 HBM bandwidth reference for sensitivity"
a800_spec_secondary,gpu_spec,A800 public secondary vendor/spec references,https://www.nvidia.com/en-us/data-center/products/a800-gpu/,"A800-dev bandwidth placeholder; verify exact server SKU"
llm_inference_primer,background,Databricks LLM inference performance engineering primer,https://www.databricks.com/blog/llm-inference-performance-engineering-best-practices,"Qualitative decode memory-bound background"
